id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401309572,Western Michigan,64,Kent State,31,Bovada,68.5,-6.5,Western Michigan -6.5,-7.0,63.0,-260,215
401309572,Western Michigan,64,Kent State,31,William Hill (New Jersey),68.5,-6.5,Western Michigan -6.5,,,,
401309572,Western Michigan,64,Kent State,31,consensus,68.5,-7,Western Michigan -7,,,,
401309572,Western Michigan,64,Kent State,31,teamrankings,68.5,-7,Western Michigan -7,,,,
401301037,Cincinnati,28,Tulsa,20,Bovada,56.0,-22.5,Cincinnati -22.5,-23.0,54.5,-2100,975
401301037,Cincinnati,28,Tulsa,20,William Hill (New Jersey),56,-22.5,Cincinnati -22.5,,,,
401301037,Cincinnati,28,Tulsa,20,consensus,56,-22.5,Cincinnati -22.5,,,,
401301037,Cincinnati,28,Tulsa,20,teamrankings,56,-22.5,Cincinnati -22.5,,,,
401282677,Boston College,17,Virginia Tech,3,Bovada,50.5,2.5,Virginia Tech -2.5,3.0,47.0,135,-160
401282677,Boston College,17,Virginia Tech,3,William Hill (New Jersey),51,1,Virginia Tech -1,,,,
401282677,Boston College,17,Virginia Tech,3,consensus,51,1,Virginia Tech -1,,,,
401282677,Boston College,17,Virginia Tech,3,teamrankings,51,1,Virginia Tech -1,,,,
401309569,Central Michigan,26,Toledo,23,Bovada,53.0,5.0,Toledo -5.0,6.0,51.5,170,-200
401309569,Central Michigan,26,Toledo,23,William Hill (New Jersey),53,5,Toledo -5,,,,
401309569,Central Michigan,26,Toledo,23,consensus,53,5,Toledo -5,,,,
401309569,Central Michigan,26,Toledo,23,teamrankings,53,5,Toledo -5,,,,
401287928,Texas Tech,24,Kansas State,25,Bovada,60.5,1.0,Kansas State -1.0,-1.0,60.5,-105,-115
401287928,Texas Tech,24,Kansas State,25,William Hill (New Jersey),60.5,1,Kansas State -1,,,,
401287928,Texas Tech,24,Kansas State,25,consensus,60.5,1,Kansas State -1,,,,
401287928,Texas Tech,24,Kansas State,25,teamrankings,60.5,1,Kansas State -1,,,,
401310722,Nevada,34,Hawai'i,17,Bovada,61.5,-14.5,Nevada -14.5,-16.0,59.5,-645,440
401310722,Nevada,34,Hawai'i,17,William Hill (New Jersey),61.5,-14,Nevada -14,,,,
401310722,Nevada,34,Hawai'i,17,consensus,61.5,-14,Nevada -14,,,,
401310722,Nevada,34,Hawai'i,17,teamrankings,61.5,-14,Nevada -14,,,,
401310715,Colorado State,32,San José State,14,Bovada,44.5,-3.5,Colorado State -3.5,-1.0,45.5,-165,140
401310715,Colorado State,32,San José State,14,William Hill (New Jersey),44.5,-3.5,Colorado State -3.5,,,,
401310715,Colorado State,32,San José State,14,consensus,44.5,-3.5,Colorado State -3.5,,,,
401310715,Colorado State,32,San José State,14,teamrankings,44,-3.5,Colorado State -3.5,,,,
401309875,Colorado,34,Arizona,0,William Hill (New Jersey),46.5,-6,Colorado -6,,,,
401309875,Colorado,34,Arizona,0,consensus,46.5,-6,Colorado -6,,,,
401309875,Colorado,34,Arizona,0,teamrankings,47,-6,Colorado -6,,,,
401309875,Colorado,34,Arizona,0,Bovada,46.5,-6.0,Colorado -6.0,-6.0,43.5,-235,195
401301029,South Florida,34,Temple,14,Bovada,55.0,-1.5,South Florida -1.5,-3.5,57.5,-120,110
401301029,South Florida,34,Temple,14,William Hill (New Jersey),55,-1.5,South Florida -1.5,,,,
401301029,South Florida,34,Temple,14,consensus,55,-1.5,South Florida -1.5,,,,
401301029,South Florida,34,Temple,14,teamrankings,54.5,-1.5,South Florida -1.5,,,,
401309594,Northern Illinois,21,Western Michigan,42,Bovada,58.5,7.0,Western Michigan -7.0,3.5,62.5,155,-180
401309594,Northern Illinois,21,Western Michigan,42,William Hill (New Jersey),58.5,7,Western Michigan -7,,,,
401309594,Northern Illinois,21,Western Michigan,42,consensus,58.5,7,Western Michigan -7,,,,
401309594,Northern Illinois,21,Western Michigan,42,teamrankings,60,6.5,Western Michigan -6.5,,,,
401331159,Utah,38,Oregon,10,William Hill (New Jersey),57.5,-3,Utah -3,,,,
401331159,Utah,38,Oregon,10,consensus,57.5,-3,Utah -3,,,,
401331159,Utah,38,Oregon,10,teamrankings,57.5,-3,Utah -3,,,,
401331159,Utah,38,Oregon,10,Bovada,57.5,-3.0,Utah -3.0,-3.0,60.0,-145,125
401331163,Wake Forest,21,Pittsburgh,45,Bovada,73.0,3.5,Pittsburgh -3.5,3,72.0,-160,135
401331163,Wake Forest,21,Pittsburgh,45,William Hill (New Jersey),72.5,3.5,Pittsburgh -3.5,,,,
401331163,Wake Forest,21,Pittsburgh,45,consensus,72.5,3.5,Pittsburgh -3.5,,,,
401331163,Wake Forest,21,Pittsburgh,45,teamrankings,72.5,3.5,Pittsburgh -3.5,,,,
401331447,Iowa,3,Michigan,42,Bovada,44.0,-12.0,Iowa -12.0,-10.5,44.0,-520,375
401331447,Iowa,3,Michigan,42,William Hill (New Jersey),44,12,Michigan -12,,,,
401331447,Iowa,3,Michigan,42,consensus,44,12,Michigan -12,,,,
401331447,Iowa,3,Michigan,42,teamrankings,43.5,12,Michigan -12,,,,
401331161,Louisiana,24,Appalachian State,16,Bovada,52.0,2.5,Appalachian State -2.5,2.0,52.5,115,-135
401331161,Louisiana,24,Appalachian State,16,William Hill (New Jersey),52,2.5,Appalachian State -2.5,,,,
401331161,Louisiana,24,Appalachian State,16,consensus,52,2.5,Appalachian State -2.5,,,,
401331161,Louisiana,24,Appalachian State,16,teamrankings,52.5,2.5,Appalachian State -2.5,,,,
